Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11756,Non disponible,Non disponible,0.002160000,Non disponible,Use-after-free of SFTKSession object,Mozilla,Firefox,['before 71']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11745,Non disponible,Non disponible,0.017050000,Non disponible,Out of bounds write in NSS when encrypting with a block cipher,Mozilla,Firefox,['before 71']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-8331,Non disponible,Non disponible,0.013240000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11358,Non disponible,Non disponible,0.033890000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-17023,Non disponible,Non disponible,0.002480000,Non disponible,NSS may negotiate TLS 1.2 or below after a TLS 1.3 HelloRetryRequest had been sent,Mozilla,Firefox,['before 72']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-11022,6.9,Non disponible,0.087630000,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),jquery,jQuery,"['>= 1.2, < 3.5.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-11023,6.9,Non disponible,0.043480000,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),jquery,jQuery,"['>= 1.0.3, < 3.5.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-12400,Non disponible,Non disponible,0.000450000,Non disponible,P-384 and P-521 vulnerable to a side channel attack on modular inversion,Mozilla,Firefox for Android,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-12401,Non disponible,Non disponible,0.000460000,Non disponible,Timing-attack on ECDSA signature generation,Mozilla,Firefox for Android,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-6829,Non disponible,Non disponible,0.001920000,Non disponible,P-384 and P-521 vulnerable to an electro-magnetic side channel attack on signature generation,Mozilla,Firefox for Android,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-17006,Non disponible,Non disponible,0.003210000,Non disponible,missing length checks for cryptographic primitives,Mozilla,NSS,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-18508,Non disponible,Non disponible,0.002240000,Non disponible,Denial of Service through malformed signatures,Mozilla,NSS,"['unspecified', 'unspecified']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-17007,Non disponible,Non disponible,0.001940000,Non disponible,CERT_DecodeCertPackage() crash with Netscape Certificate Sequences,Mozilla,NSS,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-20677,Non disponible,Non disponible,0.002590000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-14040,Non disponible,Non disponible,0.005720000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-14042,Non disponible,Non disponible,0.004000000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2016-10735,Non disponible,Non disponible,0.001330000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-20676,Non disponible,Non disponible,0.001530000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2017-12652,Non disponible,Non disponible,0.012930000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-25648,Non disponible,Non disponible,0.014150000,CWE-770,CWE-770,n/a,nss,['nss versions before 3.58']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-23990,Non disponible,Non disponible,0.008920000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2021-45960,Non disponible,Non disponible,0.004010000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-22827,Non disponible,Non disponible,0.004300000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-22825,Non disponible,Non disponible,0.004300000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-22824,Non disponible,Non disponible,0.003560000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-22826,Non disponible,Non disponible,0.004300000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-23852,Non disponible,Non disponible,0.005410000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-22823,Non disponible,Non disponible,0.005050000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-12403,Non disponible,Non disponible,0.002740000,CWE-125,CWE-125,n/a,nss,['nss 3.55']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2021-38153,Non disponible,Non disponible,0.001040000,CWE-203,CWE-203 Observable Discrepancy,Apache Software Foundation,Apache Kafka,"['Apache Kafka 2.0.x', 'Apache Kafka 2.1.x', 'Apache Kafka 2.2.x', 'Apache Kafka 2.3.x', 'Apache Kafka 2.4.x', 'Apache Kafka 2.5.x', 'Apache Kafka 2.6.x', 'Apache Kafka 2.7.x', 'Apache Kafka 2.8.x']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2021-43138,Non disponible,Non disponible,0.001910000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-34749,Non disponible,Non disponible,0.001210000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-40897,5.9,Non disponible,0.006520000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-0286,Non disponible,Non disponible,0.004220000,Non disponible, type confusion vulnerability,OpenSSL,OpenSSL,"['3.0.0', '1.1.1', '1.0.2']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-0767,Non disponible,Non disponible,0.002230000,Non disponible,Arbitrary memory write via PKCS 12 in NSS,Mozilla,Firefox ESR,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-23931,4.8,Non disponible,0.000750000,CWE-754,CWE-754: Improper Check for Unusual or Exceptional Conditions,pyca,cryptography,"['>=1.8, < 39.0.1']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-2650,Non disponible,Non disponible,0.005290000,Non disponible,inefficient algorithmic complexity,OpenSSL,OpenSSL,"['3.1.1', '3.0.0', '1.1.1', '1.0.2']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-31130,4.1,Non disponible,0.000450000,CWE-124,CWE-124: Buffer Underwrite ('Buffer Underflow'),c-ares,c-ares,['< 1.19.1']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-32067,7.5,Non disponible,0.002640000,CWE-400,CWE-400: Uncontrolled Resource Consumption,c-ares,c-ares,['< 1.19.1']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-25194,Non disponible,Non disponible,0.960710000,CWE-502,CWE-502 Deserialization of Untrusted Data,Apache Software Foundation,Apache Kafka Connect API,['2.3.0']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-3446,Non disponible,Non disponible,0.002410000,CWE-606,CWE-606 Unchecked Input for Loop Condition,OpenSSL,OpenSSL,"['3.1.0', '3.0.0', '1.1.1', '1.0.2']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-32681,6.1,Non disponible,0.003060000,CWE-200,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,psf,requests,"['>= 2.3.0, < 2.31.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-38325,Non disponible,Non disponible,0.001330000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-4807,Non disponible,Non disponible,0.000430000,CWE-440,CWE-440 Expected Behavior Violation,OpenSSL,OpenSSL,"['3.1.0', '3.0.0', '1.1.1']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-30774,Non disponible,Non disponible,0.000850000,CWE-119,CWE-119,n/a,libtiff,['4.0']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-5678,Non disponible,Non disponible,0.001160000,CWE-606,CWE-606 Unchecked Input for Loop Condition,OpenSSL,OpenSSL,"['1.0.2', '1.1.1', '3.0.0', '3.1.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-40217,Non disponible,Non disponible,0.000960000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-4813,5.9,Non disponible,0.001220000,CWE-416,Use After Free,Red Hat,Red Hat Enterprise Linux 7,[]
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-4806,5.9,Non disponible,0.001250000,CWE-416,Use After Free,Red Hat,Red Hat Enterprise Linux 7,[]
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2020-19189,Non disponible,Non disponible,0.006780000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-5156,7.5,Non disponible,0.000930000,CWE-401,Missing Release of Memory after Effective Lifetime,Red Hat,Red Hat Enterprise Linux 9,[]
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2021-46848,Non disponible,Non disponible,0.003580000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-21699,8.2,Non disponible,0.000520000,CWE-250,CWE-250: Execution with Unnecessary Privileges,ipython,ipython,"['< 5.11', '>= 6.0.0, < 7.16.3', '>= 7.17.0, < 7.31.1', '>= 8.0.0, < 8.0.1']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-6237,Non disponible,Non disponible,0.000450000,CWE-606,CWE-606 Unchecked Input for Loop Condition,OpenSSL,OpenSSL,"['3.0.0', '3.1.0', '3.2.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-30086,Non disponible,Non disponible,0.000420000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-26965,Non disponible,Non disponible,0.000770000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-3316,5.9,Non disponible,0.001270000,CWE-476,CWE-476 NULL Pointer Dereference,libtiff,libtiff,['3.9.0']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-6129,Non disponible,Non disponible,0.000720000,CWE-440,CWE-440 Expected Behavior Violation,OpenSSL,OpenSSL,"['3.2.0', '3.1.0', '3.0.0']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2022-48554,Non disponible,Non disponible,0.001830000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,,,,,,,,,,
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-5388,6.5,Non disponible,0.000440000,Non disponible,NSS susceptible to timing attack against RSA decryption,Mozilla,Thunderbird,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-49083,5.9,Non disponible,0.000920000,CWE-476,CWE-476: NULL Pointer Dereference,pyca,cryptography,"['>= 3.1, < 41.0.6']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2024-25710,8.1,Non disponible,0.001220000,CWE-835,CWE-835 Loop with Unreachable Exit Condition ('Infinite Loop'),Apache Software Foundation,Apache Commons Compress,['1.3']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2024-26308,Non disponible,Non disponible,0.001250000,CWE-770,CWE-770 Allocation of Resources Without Limits or Throttling,Apache Software Foundation,Apache Commons Compress,['1.21']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2024-22195,5.4,Non disponible,0.001130000,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),pallets,jinja,['< 3.1.3']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-50782,7.5,Non disponible,0.001060000,CWE-208,Observable Timing Discrepancy,Red Hat,Red Hat Update Infrastructure 4 for Cloud Providers,[]
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2023-52426,Non disponible,Non disponible,0.000510000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2024-21011,3.7,Non disponible,0.000450000,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.",Oracle Corporation,Java SE JDK and JRE,"['Oracle Java SE:8u401', 'Oracle Java SE:8u401-perf', 'Oracle Java SE:11.0.22', 'Oracle Java SE:17.0.10', 'Oracle Java SE:21.0.2', 'Oracle Java SE:22', 'Oracle GraalVM for JDK:17.0.10', 'Oracle GraalVM for JDK:21.0.2', 'Oracle GraalVM for JDK:22', 'Oracle GraalVM Enterprise Edition:20.3.13', 'Oracle GraalVM Enterprise Edition:21.3.9']"
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2024-21094,3.7,Non disponible,0.000450000,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition accessible data.",Oracle Corporation,Java SE JDK and JRE,"['Oracle Java SE:8u401', 'Oracle Java SE:8u401-perf', 'Oracle Java SE:11.0.22', 'Oracle Java SE:17.0.10', 'Oracle Java SE:21.0.2', 'Oracle Java SE:22', 'Oracle GraalVM for JDK:17.0.10', 'Oracle GraalVM for JDK:21.0.2', 'Oracle GraalVM for JDK:22', 'Oracle GraalVM Enterprise Edition:20.3.13', 'Oracle GraalVM Enterprise Edition:21.3.9']"
